///ver,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21
///key,,,,,,,,,,,,,,,,,,,,
///id,page1,page1name,page2,page2name,page3,page3name,product,material,CYquantity,CGmessage,helpdesc,,,,,,,,,
///序号,一级分类,一级分类名,二级分类,二级分类名,三级分类(列表排序),三级分类名(列表名),合成目标物品(idx#数量),所需的物品(idx#数量)&分开,需消耗货币(货币类型#数量)最多显示6种任意货币,成功信息（聊天框提示）,问号说明,,,,,,,,,
1,1,佩饰,1,玉佩,1,姻缘玉佩,50501#1,10134#5&10135#5&10136#5,7#999,恭喜：姻缘玉佩合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=240>???,,,,,,,,,
2,2,装备,1,武器,1,怒斩,50047#1,50039#1&50039#1,1#100000,恭喜：怒斩合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=241>???,,,,,,,,,
3,2,装备,1,武器,2,屠龙,50042#1,50047#1&10166#10,2#200000,恭喜：屠龙合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=242>???,,,,,,,,,
4,2,装备,1,武器,3,开天,50536#1,50042#1&10166#50,1#300000;2#300000,恭喜：开天合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=243>???,,,,,,,,,
5,2,装备,2,衣服,1,天魔神甲,50068#1,50056#1&50056#1,1#100000,恭喜：天魔神甲合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=244>???,,,,,,,,,
6,2,装备,2,衣服,2,圣战宝甲,50069#1,50057#1&50057#1,1#100000,恭喜：圣战宝甲合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=245>???,,,,,,,,,
7,2,装备,2,衣服,3,雷霆战甲(男),50172#1,50068#1&10166#10,2#200000,恭喜：雷霆战甲(男)合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=246>???,,,,,,,,,
8,2,装备,2,衣服,4,雷霆战甲(女),50173#1,50069#1&10166#10,2#200000,恭喜：雷霆战甲(女)合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=247>???,,,,,,,,,
9,2,装备,2,衣服,5,凤天魔甲,50196#1,50172#1&10166#50,1#300000;2#300000,恭喜：凤天魔甲合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=248>???,,,,,,,,,
10,2,装备,2,衣服,6,凰天魔衣,50197#1,50173#1&10166#50,1#300000;2#300000,恭喜：凰天魔衣合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=249>???,,,,,,,,,
11,3,技能,1,战士技能书,1,十步一杀,10063#1,10154#100,5#1000,恭喜：十步一杀合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=250>???,,,,,,,,,
12,3,技能,2,法师技能书,1,冰霜群雨,10059#1,10155#100,5#1000,恭喜：冰霜群雨合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=251>???,,,,,,,,,
13,3,技能,3,道士技能书,1,死亡之眼,10060#1,10155#100,5#1000,恭喜：死亡之眼合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=252>???,,,,,,,,,
14,5,特殊,2,特戒,1,十倍力量戒指,50316#1,50133#3&50146#3&50140#3,2#300000,恭喜：十倍力量戒指合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=253>???,,,,,,,,,
15,5,特殊,2,特戒,2,十倍经验戒指,50317#1,50133#3&50146#3&50140#3,2#300000,恭喜：十倍经验戒指合成成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=254>???,,,,,,,,,
16,5,特殊,1,技能书分解,1,十步一杀分解,10154#88,10063#1,,恭喜：十步一杀分解成功！,<第一行字/FCOLOR=240>\\<第二行字/FCOLOR=255>???,,,,,,,,,
